iter	Passed	Remaining
0	33	33417
1	257	128704
2	527	175223
3	684	170426
4	920	183218
5	984	163171
6	1269	180025
7	1477	183256
8	1735	191106
9	1975	195615
10	2046	184019
11	2074	170806
12	2297	174435
13	2331	164235
14	2556	167846
15	2811	172927
16	2922	168967
17	3166	172732
18	3389	175009
19	3423	167762
20	3690	172052
21	3992	177474
22	4112	174685
23	4139	168330
24	4170	162667
25	4423	165702
26	4675	168509
27	4865	168893
28	5089	170410
29	5314	171835
30	5574	174259
31	5810	175765
32	6044	177121
33	6188	175818
34	6443	177660
35	6690	179149
36	6935	180512
37	7186	181919
38	7427	183029
39	7644	183458
40	7889	184547
41	8134	185548
42	8376	186427
43	8449	183590
44	8735	185379
45	8770	181901
46	9011	182719
47	9161	181697
48	9224	179022
49	9365	177939
50	9603	178699
51	9702	176877
52	9728	173829
53	9866	172843
54	10096	173473
55	10131	170784
56	10303	170463
57	10537	171139
58	10729	171126
59	10955	171638
60	11157	171750
61	11384	172228
62	11640	173129
63	11903	174095
64	11937	171709
65	12190	172511
66	12382	172437
67	12528	171707
68	12766	172250
69	13014	172912
70	13119	171664
71	13215	170331
72	13279	168633
73	13382	167461
74	13445	165833
75	13588	165211
76	13848	166001
77	14094	166601
78	14340	167183
79	14586	167740
80	14619	165871
81	14862	166388
82	15108	166920
83	15338	167260
84	15551	167411
85	15791	167828
86	15857	166409
87	16093	166791
88	16241	166244
89	16471	166542
90	16504	164865
91	16741	165234
92	16933	165150
93	17168	165478
94	17422	165976
95	17667	166372
96	17925	166875
97	18033	165985
98	18217	165798
99	18460	166146
100	18761	166992
101	19006	167330
102	19260	167737
103	19376	166931
104	19628	167312
105	19668	165881
106	19917	166227
107	20179	166670
108	20419	166915
109	20647	167060
110	20891	167322
111	21033	166761
112	21142	165960
113	21372	166107
114	21549	165835
115	21653	165015
116	21890	165206
117	22147	165539
118	22397	165814
119	22652	166117
120	22890	166286
121	23074	166059
122	23325	166311
123	23562	166455
124	23844	166914
125	24128	167366
126	24408	167782
127	24645	167899
128	24882	168002
129	25130	168181
130	25368	168284
131	25616	168449
132	25855	168547
133	26039	168285
134	26285	168424
135	26540	168610
136	26641	167820
137	26921	168159
138	26961	167003
139	27273	167537
140	27316	166416
141	27599	166760
142	27918	167313
143	28236	167851
144	28507	168096
145	28769	168279
146	29020	168395
147	29253	168403
148	29491	168435
149	29565	167538
150	29809	167604
151	30065	167733
152	30306	167773
153	30559	167881
154	30813	167984
155	31059	168037
156	31327	168208
157	31489	167812
158	31746	167915
159	31993	167968
160	32277	168203
161	32513	168187
162	32774	168294
163	33008	168265
164	33251	168272
165	33520	168412
166	33766	168426
167	34021	168485
168	34269	168509
169	34520	168539
170	34753	168480
171	34994	168464
172	35253	168523
173	35530	168665
174	35777	168667
175	36018	168634
176	36265	168622
177	36532	168705
178	36569	167729
179	36634	166889
180	36887	166908
181	36960	166120
182	37220	166168
183	37478	166208
184	37715	166151
185	37974	166189
186	38225	166188
187	38485	166225
188	38737	166220
189	38993	166233
190	39241	166210
191	39501	166235
192	39765	166273
193	39964	166039
194	40225	166059
195	40477	166041
196	40746	166090
197	40992	166040
198	41243	166011
199	41491	165965
200	41744	165938
201	41997	165911
202	42267	165945
203	42533	165964
204	42799	165980
205	43042	165902
206	43290	165843
207	43532	165760
208	43803	165782
209	44060	165751
210	44321	165732
211	44561	165635
212	44834	165654
213	45089	165609
214	45338	165538
215	45573	165414
216	45831	165373
217	46088	165328
218	46363	165340
219	46631	165331
220	46920	165388
221	47046	164876
222	47291	164776
223	47567	164786
224	47846	164804
225	48136	164857
226	48392	164791
227	48647	164717
228	48926	164726
229	49164	164593
230	49446	164608
231	49718	164585
232	49995	164576
233	50286	164614
234	50449	164230
235	50714	164175
236	50989	164155
237	51263	164129
238	51531	164082
239	51803	164045
240	52085	164037
241	52327	163902
242	52584	163812
243	52811	163629
244	53107	163659
245	53393	163651
246	53718	163765
247	54002	163750
248	54285	163729
249	54529	163589
250	54862	163713
251	55113	163589
252	55387	163535
253	55673	163514
254	55757	162898
255	55973	162673
256	56263	162659
257	56573	162705
258	56808	162528
259	57113	162553
260	57409	162550
261	57682	162480
262	57978	162470
263	58287	162499
264	58588	162499
265	58897	162521
266	59209	162550
267	59514	162553
268	59818	162554
269	60111	162522
270	60426	162548
271	60703	162471
272	60999	162441
273	61267	162337
274	61556	162286
275	61862	162278
276	62126	162156
277	62397	162054
278	62715	162071
279	63003	162009
280	63262	161871
281	63525	161741
282	63813	161675
283	64077	161546
284	64365	161477
285	64647	161391
286	64812	161015
287	65222	161245
288	65587	161359
289	65960	161489
290	66276	161476
291	66604	161494
292	66913	161460
293	67265	161529
294	67620	161601
295	67931	161567
296	68223	161484
297	68497	161360
298	68783	161261
299	69065	161153
300	69346	161040
301	69632	160939
302	69916	160830
303	70182	160681
304	70472	160585
305	70778	160523
306	71066	160421
307	71423	160470
308	71723	160390
309	72008	160276
310	72291	160156
311	72580	160049
312	72850	159899
313	73109	159723
314	73372	159555
315	73677	159479
316	73984	159404
317	74288	159322
318	74544	159137
319	74791	158932
320	75083	158821
321	75351	158660
322	75620	158498
323	75906	158372
324	76139	158136
325	76412	157980
326	76659	157773
327	76951	157656
328	77246	157544
329	77525	157400
330	77796	157237
331	78082	157106
332	78356	156949
333	78633	156795
334	78894	156612
335	79166	156447
336	79441	156289
337	79699	156097
338	79961	155912
339	80192	155667
340	80441	155457
341	80679	155225
342	80959	155073
343	81281	155001
344	81641	155001
345	81987	154970
346	82257	154795
347	82527	154620
348	82806	154462
349	83087	154305
350	83363	154138
351	83617	153931
352	83861	153707
353	84130	153526
354	84396	153340
355	84706	153233
356	84985	153069
357	85253	152884
358	85514	152687
359	85773	152486
360	86035	152289
361	86306	152110
362	86590	151951
363	86849	151748
364	87137	151595
365	87432	151454
366	87554	151013
367	87804	150793
368	88067	150597
369	88325	150392
370	88567	150158
371	88827	149955
372	89106	149785
373	89375	149596
374	89622	149370
375	89894	149186
376	90189	149039
377	90451	148838
378	90764	148720
379	91039	148538
380	91279	148298
381	91587	148170
382	91854	147975
383	92098	147741
384	92358	147533
385	92635	147352
386	92888	147134
387	93152	146930
388	93416	146728
389	93671	146511
390	93937	146311
391	94216	146131
392	94491	145945
393	94802	145812
394	95066	145607
395	95373	145468
396	95636	145262
397	95903	145060
398	96140	144813
399	96436	144654
400	96733	144497
401	97015	144316
402	97278	144107
403	97572	143944
404	97847	143751
405	98096	143519
406	98340	143282
407	98580	143038
408	98797	142761
409	99060	142551
410	99331	142351
411	99573	142109
412	99840	141903
413	100094	141679
414	100356	141466
415	100678	141336
416	100939	141121
417	101234	140953
418	101498	140741
419	101743	140503
420	101982	140256
421	102260	140062
422	102524	139849
423	102777	139622
424	103046	139415
425	103291	139176
426	103557	138966
427	103797	138719
428	104109	138569
429	104361	138340
