iter	Logloss	ZeroOneLoss
0	0.6824150392	0.07345
1	0.6719262608	0.07345
2	0.6614662317	0.07345
3	0.6514305883	0.07345
4	0.6416742876	0.07345
5	0.632216799	0.07345
6	0.622922162	0.07345
7	0.6139282298	0.07345
8	0.605118811	0.07345
9	0.5958214443	0.07345
10	0.5875100952	0.07345
11	0.5794086897	0.07345
12	0.5714812766	0.07345
13	0.5637854913	0.07345
14	0.5561672092	0.07345
15	0.548822233	0.07345
16	0.5416031002	0.07345
17	0.5345471202	0.07345
18	0.5277277361	0.07345
19	0.5211408477	0.07345
20	0.5144553137	0.07345
21	0.5081121999	0.07345
22	0.5018475678	0.07345
23	0.4959156881	0.07345
24	0.4901351377	0.07345
25	0.4843202404	0.07345
26	0.4787225196	0.07345
27	0.4732301541	0.07345
28	0.4679386322	0.07345
29	0.4623631761	0.07345
30	0.4573444493	0.07345
31	0.4524519003	0.07345
32	0.4477527808	0.07345
33	0.4431867793	0.07345
34	0.4386686324	0.07345
35	0.4342959566	0.07345
36	0.4300607688	0.07345
37	0.4257970008	0.07345
38	0.4217900489	0.07345
39	0.4177873358	0.07345
40	0.4138926216	0.07345
41	0.4100179112	0.07345
42	0.4064060188	0.07345
43	0.4028879369	0.07345
44	0.3993052234	0.07345
45	0.3959661279	0.07345
46	0.3925779121	0.07345
47	0.3893643984	0.07345
48	0.3862749163	0.07345
49	0.3832601819	0.07345
50	0.3802965499	0.07345
51	0.3773629822	0.07345
52	0.3745748947	0.07345
53	0.3718273638	0.07345
54	0.369074536	0.07345
55	0.3664933229	0.07345
56	0.3635665663	0.07345
57	0.3610449256	0.07345
58	0.3585813595	0.07345
59	0.355933083	0.07345
60	0.3536477019	0.07345
61	0.3514369174	0.07345
62	0.349001846	0.07345
63	0.3468301368	0.07345
64	0.3447882758	0.07345
65	0.3426670118	0.07345
66	0.3405454336	0.07345
67	0.3385377144	0.07345
68	0.3361952958	0.07345
69	0.3343064361	0.07345
70	0.3325227778	0.07345
71	0.330819863	0.07345
72	0.3291586896	0.07345
73	0.3274722932	0.07345
74	0.3258915789	0.07345
75	0.3240428598	0.07345
76	0.3225095809	0.07345
77	0.3209344096	0.07345
78	0.3192115733	0.07345
79	0.3174739683	0.07345
80	0.3161229321	0.07345
81	0.3146593033	0.07345
82	0.3132737091	0.07345
83	0.3119483409	0.07345
84	0.3104858014	0.07345
85	0.3091613647	0.07345
86	0.3079902405	0.07345
87	0.3068374681	0.07345
88	0.3057066146	0.07345
89	0.3042436323	0.07345
90	0.3031950489	0.07345
91	0.3021481371	0.07345
92	0.3009369367	0.07345
93	0.2997719796	0.07345
94	0.2987525409	0.07345
95	0.2974635965	0.07345
96	0.2964436334	0.07345
97	0.2955612785	0.07345
98	0.2946508361	0.07345
99	0.2934774434	0.07345
100	0.2925970298	0.07345
101	0.2916871108	0.07345
102	0.2908271917	0.07345
103	0.2900336287	0.07345
104	0.2891984208	0.07345
105	0.2884794297	0.07345
106	0.2874931316	0.07345
107	0.2864914822	0.07345
108	0.2857248066	0.07345
109	0.2849856331	0.07345
110	0.2840096417	0.07345
111	0.2833939134	0.07345
112	0.2825783712	0.07345
113	0.2819146705	0.07345
114	0.281338704	0.07345
115	0.280780151	0.07345
116	0.2800693224	0.07345
117	0.2792945782	0.07345
118	0.2784669173	0.07345
119	0.2777980187	0.07345
120	0.2771284922	0.07345
121	0.2764630639	0.07345
122	0.2756562016	0.07345
123	0.2751449863	0.07345
124	0.2746101963	0.07345
125	0.2740959765	0.07345
126	0.2734175112	0.07345
127	0.272954527	0.07345
128	0.2723012094	0.07345
129	0.2718065104	0.07345
130	0.27113685	0.07345
131	0.2706490731	0.07345
132	0.2701063729	0.07345
133	0.2696988557	0.07345
134	0.2691299258	0.07345
135	0.2686554272	0.07345
136	0.2683286059	0.07345
137	0.2677687174	0.07345
138	0.2674586357	0.07345
139	0.2669911571	0.07345
140	0.2666956675	0.07345
141	0.2662906819	0.07345
142	0.265907603	0.07345
143	0.2655912886	0.07345
144	0.2652664958	0.07345
145	0.2649222509	0.07345
146	0.2645188486	0.07345
147	0.2640778237	0.07345
148	0.2637613667	0.07345
149	0.2635238066	0.07345
150	0.2632893655	0.07345
151	0.2628535608	0.07345
152	0.262533206	0.07345
153	0.2621028718	0.07345
154	0.2617511133	0.07345
155	0.2613955373	0.07345
156	0.2610406299	0.07345
157	0.2608020804	0.07345
158	0.2603409677	0.07345
159	0.2600937015	0.07345
160	0.2597235552	0.07345
161	0.2593690226	0.07345
162	0.2590621381	0.07345
163	0.258737643	0.07345
164	0.2584212424	0.07345
165	0.2580951921	0.07345
166	0.2578656029	0.07345
167	0.2576538693	0.07345
168	0.2573594464	0.07345
169	0.2571331228	0.07345
170	0.2569484628	0.07345
171	0.2567479693	0.07345
172	0.2564539687	0.07345
173	0.2561172323	0.07345
174	0.2558915455	0.07345
175	0.2556878719	0.07345
176	0.255427161	0.07345
177	0.2552226014	0.07345
178	0.2551079265	0.07345
179	0.2549953565	0.07345
180	0.2547631815	0.07345
181	0.2546266248	0.07345
182	0.2543462452	0.07345
183	0.2541350624	0.07345
184	0.253893722	0.07345
185	0.2536408659	0.07345
186	0.2533929171	0.07345
187	0.2531981977	0.07345
188	0.2530293533	0.07345
189	0.2528196769	0.07345
190	0.2526208513	0.07345
191	0.2524063657	0.07345
192	0.2522554834	0.07345
193	0.2520520246	0.07345
194	0.2518548695	0.07345
195	0.2516327269	0.07345
196	0.2514479045	0.07345
197	0.2512417738	0.07345
198	0.2510606806	0.07345
199	0.2508915308	0.07345
200	0.2506728785	0.07345
201	0.2504942263	0.07345
202	0.2502688472	0.07345
203	0.2501533176	0.07345
204	0.2500368286	0.07345
205	0.2499054796	0.07345
206	0.249729619	0.07345
207	0.2496194336	0.07345
208	0.2494481174	0.07345
209	0.24925434	0.07345
210	0.249127034	0.07345
211	0.2489983281	0.07345
